48			
6.67	6.66	6.7	6.61
6.65	6.69	6.72	6.62
6.69	6.63	6.69	6.62
6.63	6.64	6.66	6.6
6.56	6.54	6.61	6.49
6.57	6.55	6.58	6.53
6.6	6.55	6.61	6.51
6.49	6.53	6.56	6.45
6.58	6.63	6.63	6.54
6.57	6.52	6.58	6.47
6.57	6.54	6.62	6.51
6.42	6.42	6.45	6.37
6.42	6.47	6.52	6.41
6.41	6.24	6.43	6.24
6.29	6.25	6.3	6.22
6.27	6.43	6.44	6.24
6.46	6.41	6.47	6.4
6.36	6.4	6.42	6.35
6.33	6.38	6.42	6.31
6.35	6.25	6.41	6.24
6.36	6.28	6.36	6.23
6.34	6.34	6.41	6.26
6.39	6.36	6.42	6.36
6.39	6.42	6.5	6.35
6.45	6.43	6.49	6.43
6.44	6.46	6.49	6.43
6.56	6.62	6.64	6.55
6.53	6.45	6.55	6.45
6.39	6.35	6.42	6.34
6.39	6.4	6.42	6.33
6.49	6.5	6.56	6.47
6.52	6.51	6.56	6.43
6.71	6.65	6.71	6.65
6.8	6.8	6.82	6.75
6.82	6.85	6.88	6.8
6.67	6.62	6.68	6.58
6.64	6.76	6.78	6.6
6.69	6.65	6.69	6.6
6.61	6.62	6.64	6.55
6.6	6.54	6.65	6.49
6.48	6.44	6.49	6.41
6.48	6.53	6.53	6.42
6.5	6.39	6.5	6.36
6.48	6.45	6.5	6.42
6.56	6.56	6.6	6.48
6.53	6.48	6.53	6.44
6.5	6.48	6.5	6.38
6.42	6.5	6.5	6.35
