4581
26,901.09	27,002.96	27,155.36	26,850.27
27,114.88	27,319.25	27,319.25	27,020.73
27,235.71	27,226.95	27,429.37	27,178.71
27,390.81	27,274.83	27,490.55	27,230.09
27,288.09	27,239.08	27,371.35	27,105.22
27,353.93	27,368.68	27,457.59	27,291.94
27,267.13	27,505.53	27,523.86	27,169.67
27,705.94	27,753.54	27,828.81	27,640.62
27,657.24	27,671.40	27,915.16	27,598.06
27,787.61	27,959.23	27,999.60	27,699.23
27,946.46	28,428.00	28,428.00	27,909.73
28,275.07	28,117.48	28,379.37	28,050.78
28,268.71	28,171.32	28,441.49	28,171.32
28,122.02	27,951.12	28,205.96	27,925.62
28,550.24	28,462.34	28,833.45	28,203.22
28,311.07	28,839.35	28,891.11	28,281.98
29,003.20	28,987.09	29,252.00	28,945.91
29,363.02	29,313.58	29,480.04	29,156.45
29,209.82	29,342.38	29,384.01	28,956.47
30,081.55	29,818.48	30,081.55	29,678.86
29,944.18	29,643.05	29,967.74	29,643.05
29,699.11	29,828.15	29,855.76	29,620.45
29,892.81	29,730.85	29,917.11	29,639.38
29,605.01	29,513.08	29,672.79	29,504.14
29,549.80	29,667.52	29,849.70	29,535.20
29,805.83	30,112.19	30,112.19	29,682.87
29,963.24	29,782.95	30,055.94	29,755.87
29,963.26	30,088.65	30,101.83	29,896.86
30,124.68	30,160.69	30,178.58	30,004.97
30,129.87	29,754.30	30,142.86	29,665.11
29,810.72	30,119.85	30,280.12	29,810.72
29,909.76	29,806.35	29,909.76	29,694.85
29,839.45	30,138.14	30,184.61	29,783.67
30,119.56	30,052.27	30,139.61	29,892.62
30,157.49	30,065.99	30,222.02	30,018.98
30,077.15	30,119.58	30,185.06	29,913.62
29,936.32	29,950.42	30,050.91	29,765.55
29,986.39	29,785.27	29,999.34	29,715.77
29,624.67	29,736.99	29,736.99	29,534.42
29,562.02	29,383.72	29,612.37	29,383.72
29,051.36	28,812.64	29,100.69	28,761.88
28,775.21	28,663.20	28,816.59	28,558.80
28,728.25	28,564.71	28,781.63	28,551.65
28,566.91	28,677.76	28,701.60	28,435.06
28,523.35	28,501.37	28,702.24	28,463.11
29,113.36	29,173.33	29,243.10	28,847.34
29,071.56	29,387.75	29,446.77	29,051.85
29,320.97	29,357.19	29,435.81	29,251.25
29,466.28	29,419.14	29,486.15	29,319.51
29,409.01	29,112.44	29,409.01	29,034.13
29,012.26	28,843.86	29,204.73	28,828.26
28,851.39	28,891.06	28,932.47	28,696.31
