36
29,003.20	28,987.09	29,252.00	28,945.91
29,363.02	29,313.58	29,480.04	29,156.45
29,209.82	29,342.38	29,384.01	28,956.47
30,081.55	29,818.48	30,081.55	29,678.86
29,944.18	29,643.05	29,967.74	29,643.05
29,699.11	29,828.15	29,855.76	29,620.45
29,892.81	29,730.85	29,917.11	29,639.38
29,605.01	29,513.08	29,672.79	29,504.14
29,549.80	29,667.52	29,849.70	29,535.20
29,805.83	30,112.19	30,112.19	29,682.87
29,963.24	29,782.95	30,055.94	29,755.87
29,963.26	30,088.65	30,101.83	29,896.86
30,124.68	30,160.69	30,178.58	30,004.97
30,129.87	29,754.30	30,142.86	29,665.11
29,810.72	30,119.85	30,280.12	29,810.72
29,909.76	29,806.35	29,909.76	29,694.85
29,839.45	30,138.14	30,184.61	29,783.67
30,119.56	30,052.27	30,139.61	29,892.62
30,157.49	30,065.99	30,222.02	30,018.98
30,077.15	30,119.58	30,185.06	29,913.62
29,936.32	29,950.42	30,050.91	29,765.55
29,986.39	29,785.27	29,999.34	29,715.77
29,624.67	29,736.99	29,736.99	29,534.42
29,562.02	29,383.72	29,612.37	29,383.72
29,051.36	28,812.64	29,100.69	28,761.88
28,775.21	28,663.20	28,816.59	28,558.80
28,728.25	28,564.71	28,781.63	28,551.65
28,566.91	28,677.76	28,701.60	28,435.06
28,523.35	28,501.37	28,702.24	28,463.11
29,113.36	29,173.33	29,243.10	28,847.34
29,071.56	29,387.75	29,446.77	29,051.85
29,320.97	29,357.19	29,435.81	29,251.25
29,466.28	29,419.14	29,486.15	29,319.51
29,409.01	29,112.44	29,409.01	29,034.13
29,012.26	28,843.86	29,204.73	28,828.26
28,851.39	28,891.06	28,932.47	28,696.31
